Rank,City,Crime Index,Safety Index,Country,Continent_x,Population_2022,Area_km2,Density_per_km2,Growth Rate,GDP_2022,GDP_2023,Continent_y,City_Country,Latitude,Longitude,School_Enrollment_2022,Unemployment_Rate_2022,Income_per_Capita_2021
239,Windsor,43.25,56.75,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Windsor, Canada",42.2858536,-82.9780695,77.3137588500977,5.279,41986.2328595884
240,Mississauga,43.06,56.94,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Mississauga, Canada",43.5896231,-79.6443879,77.3137588500977,5.279,41986.2328595884
241,Vaughan,42.7,57.3,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Vaughan, Canada",43.7941544,-79.5268023,77.3137588500977,5.279,41986.2328595884
242,Cologne,42.65,57.35,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Cologne, Germany",50.938361,6.959974,77.3656997680664,3.12,42982.481891127
243,Hamburg,42.56,57.44,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Hamburg, Germany",53.5511,9.9937,77.3656997680664,3.12,42982.481891127
244,Genoa,42.51,57.49,Italy,Europe,59037474.0,301336.0,195.9191,0.9966,2102995942720.44,2300941152991.81,Europe,"Genoa, Italy",44.40726,8.9338624,73.8962097167969,8.069,29681.5571261882
245,Berlin,42.24,57.76,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Berlin, Germany",52.510885,13.3989367,77.3656997680664,3.12,42982.481891127
246,Sofia,42.13,57.87,Bulgaria,Europe,6781953.0,110879.0,61.1654,0.9849,90642851835.8996,102407653020.606,Europe,"Sofia, Bulgaria",42.6977,23.3242,84.1293563842773,4.268,10114.5235213919
247,Lodz,42.09,57.91,Poland,Europe,39857145.0,312679.0,127.4698,1.0404,695607470875.276,809200697797.088,Europe,"Lodz, Poland",51.7728245,19.478485931307937,75.2911071777344,2.811,15410.7923025682
249,Perth,41.61,58.39,Australia,Oceania,26177413.0,7692024.0,3.4032,1.0099,1690858246994.43,1728057316695.61,Oceania,"Perth, Australia",-31.9558933,115.8605855,106.240760803223,3.728,45710.8904505974
250,Pune,41.56,58.44,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Pune, India",18.5213738,73.8545071,32.6703071594238,4.822,1907.12903981633
